'Time and date','Fc5.','Fc3.','Fc1.','Fcz.','Fc2.','Fc4.','Fc6.','C5..','C3..','C1..','Cz..','C2..','C4..','C6..','Cp5.','Cp3.','Cp1.','Cpz.','Cp2.','Cp4.','Cp6.','Fp1.','Fpz.','Fp2.','Af7.','Af3.','Afz.','Af4.','Af8.','F7..','F5..','F3..','F1..','Fz..','F2..','F4..','F6..','F8..','Ft7.','Ft8.','T7..','T8..','T9..','T10.','Tp7.','Tp8.','P7..','P5..','P3..','P1..','Pz..','P2..','P4..','P6..','P8..','Po7.','Po3.','Poz.','Po4.','Po8.','O1..','Oz..','O2..','Iz..','EDF Annotations'
'[16:17:00.056 12/08/2009]',23.000,22.000,17.000,20.000,11.000,15.000,17.000,-287.000,26.000,20.000,22.000,20.000,16.000,22.000,17.000,18.000,18.000,14.000,19.000,23.000,23.000,-24.000,-22.000,-19.000,-18.000,-7.000,-7.000,-10.000,-13.000,1.000,-2.000,-4.000,17.000,-2.000,-5.000,-5.000,-10.000,-21.000,5.000,2.000,1.000,4.000,2.000,3.000,1.000,8.000,4.000,5.000,6.000,6.000,3.000,6.000,4.000,6.000,3.000,-2.000,-2.000,-1.000,-2.000,-20.000,-7.000,-10.000,-2.000,-15.000,12849.000
'[16:17:00.063 12/08/2009]',1.000,2.000,-4.000,-4.000,-8.000,-2.000,5.000,-256.000,7.000,1.000,2.000,4.000,3.000,12.000,-3.000,-2.000,0.000,-2.000,3.000,9.000,11.000,-51.000,-46.000,-42.000,-41.000,-30.000,-28.000,-29.000,-36.000,-21.000,-23.000,-23.000,15.000,-19.000,-18.000,-18.000,-24.000,-35.000,-14.000,-8.000,-13.000,-2.000,-13.000,-6.000,-17.000,0.000,-14.000,-10.000,-7.000,-5.000,-8.000,-2.000,-4.000,0.000,-4.000,-14.000,-12.000,-10.000,-8.000,-23.000,-15.000,-17.000,-4.000,-23.000,11824.000
'[16:17:00.069 12/08/2009]',-12.000,-10.000,-15.000,-10.000,-12.000,-7.000,-4.000,-79.000,-6.000,-7.000,-7.000,-2.000,6.000,17.000,-6.000,-4.000,-2.000,-7.000,5.000,11.000,13.000,-48.000,-40.000,-36.000,-34.000,-17.000,-21.000,-20.000,-28.000,-13.000,-15.000,-14.000,7.000,-12.000,-7.000,-8.000,-14.000,-24.000,-2.000,-1.000,2.000,4.000,3.000,-5.000,-1.000,6.000,-2.000,1.000,2.000,4.000,2.000,8.000,4.000,10.000,6.000,1.000,2.000,3.000,6.000,-7.000,-1.000,-3.000,10.000,-8.000,11824.000
'[16:17:00.075 12/08/2009]',-3.000,-1.000,-4.000,3.000,-3.000,4.000,7.000,-192.000,4.000,4.000,5.000,6.000,14.000,20.000,4.000,4.000,6.000,-1.000,13.000,18.000,18.000,-42.000,-33.000,-35.000,-31.000,-15.000,-14.000,-14.000,-22.000,-16.000,-12.000,-12.000,12.000,-9.000,-3.000,-3.000,-10.000,-20.000,-5.000,0.000,2.000,2.000,5.000,-8.000,3.000,5.000,5.000,4.000,2.000,3.000,2.000,8.000,4.000,12.000,8.000,5.000,6.000,5.000,7.000,-5.000,2.000,1.000,12.000,-6.000,5428.000
'[16:17:00.081 12/08/2009]',-12.000,-7.000,-10.000,-2.000,-4.000,-1.000,6.000,-87.000,-5.000,-6.000,-3.000,-1.000,6.000,10.000,-2.000,-6.000,-2.000,-4.000,4.000,8.000,7.000,-52.000,-43.000,-44.000,-40.000,-26.000,-22.000,-20.000,-30.000,-27.000,-22.000,-22.000,2.000,-15.000,-6.000,-7.000,-12.000,-26.000,-20.000,-12.000,-16.000,-11.000,-13.000,-8.000,-20.000,-4.000,-13.000,-11.000,-12.000,-10.000,-11.000,-4.000,-7.000,-2.000,-3.000,-12.000,-10.000,-6.000,-5.000,-20.000,-14.000,-11.000,-1.000,-21.000,5428.000
'[16:17:00.088 12/08/2009]',-22.000,-17.000,-18.000,-7.000,-10.000,-11.000,-8.000,169.000,-18.000,-17.000,-13.000,-9.000,-2.000,2.000,-12.000,-15.000,-8.000,-13.000,-3.000,-3.000,-4.000,-51.000,-40.000,-40.000,-35.000,-23.000,-19.000,-17.000,-30.000,-24.000,-18.000,-17.000,0.000,-11.000,-6.000,-8.000,-16.000,-24.000,-15.000,-15.000,-16.000,-12.000,-15.000,-15.000,-14.000,-11.000,-17.000,-13.000,-14.000,-13.000,-13.000,-9.000,-13.000,-8.000,-12.000,-15.000,-13.000,-9.000,-12.000,-31.000,-14.000,-14.000,-9.000,-25.000,11828.000
'[16:17:00.094 12/08/2009]',-15.000,-10.000,-7.000,2.000,-3.000,-6.000,-12.000,-126.000,-10.000,-8.000,-2.000,1.000,-2.000,-2.000,-7.000,-7.000,-2.000,-10.000,-1.000,-3.000,-6.000,-39.000,-28.000,-27.000,-24.000,-14.000,-7.000,-6.000,-20.000,-8.000,-4.000,-3.000,4.000,3.000,4.000,2.000,-10.000,-15.000,-1.000,-12.000,-3.000,-6.000,1.000,-8.000,6.000,-6.000,1.000,3.000,0.000,-2.000,-2.000,-1.000,-6.000,-3.000,-7.000,0.000,1.000,-1.000,-8.000,-30.000,0.000,-6.000,-6.000,-15.000,11828.000
'[16:17:00.100 12/08/2009]',4.000,6.000,7.000,15.000,17.000,4.000,-2.000,61.000,4.000,4.000,9.000,12.000,5.000,6.000,10.000,11.000,11.000,7.000,7.000,5.000,1.000,-23.000,-16.000,-15.000,-7.000,5.000,5.000,3.000,-8.000,11.000,8.000,8.000,-4.000,13.000,12.000,10.000,-1.000,-11.000,10.000,-2.000,3.000,-1.000,7.000,1.000,8.000,-3.000,4.000,6.000,3.000,0.000,-1.000,-3.000,-7.000,-8.000,-12.000,0.000,-1.000,-6.000,-16.000,-39.000,-4.000,-12.000,-15.000,-19.000,5169.000
'[16:17:00.106 12/08/2009]',-1.000,-2.000,-4.000,1.000,9.000,-5.000,-6.000,250.000,-6.000,-8.000,-4.000,-2.000,-5.000,-2.000,3.000,2.000,0.000,-2.000,-3.000,-4.000,-7.000,-35.000,-27.000,-26.000,-20.000,-8.000,-7.000,-9.000,-20.000,-5.000,-5.000,-7.000,-2.000,-1.000,-4.000,-4.000,-10.000,-17.000,-2.000,-7.000,-6.000,-5.000,-4.000,-22.000,-9.000,-14.000,-12.000,-7.000,-10.000,-11.000,-13.000,-13.000,-17.000,-17.000,-22.000,-12.000,-11.000,-15.000,-23.000,-47.000,-15.000,-22.000,-23.000,-28.000,5169.000
'[16:17:00.113 12/08/2009]',-9.000,-9.000,-10.000,-7.000,-1.000,-11.000,-11.000,-67.000,-7.000,-11.000,-7.000,-4.000,-7.000,-5.000,1.000,-2.000,-2.000,-2.000,-1.000,-2.000,-5.000,-40.000,-32.000,-32.000,-27.000,-17.000,-11.000,-9.000,-20.000,-11.000,-8.000,-8.000,1.000,-2.000,-7.000,-5.000,-8.000,-9.000,-1.000,-8.000,-4.000,-11.000,-1.000,-15.000,-8.000,-10.000,-6.000,-1.000,-1.000,0.000,-2.000,-1.000,-6.000,-6.000,-13.000,-4.000,-1.000,-1.000,-8.000,-31.000,-2.000,-5.000,-5.000,-5.000,12628.000
'[16:17:00.119 12/08/2009]',2.000,1.000,-4.000,2.000,2.000,-10.000,-11.000,90.000,4.000,-3.000,2.000,3.000,-2.000,-2.000,8.000,7.000,7.000,8.000,7.000,6.000,-1.000,-34.000,-26.000,-23.000,-22.000,-14.000,-7.000,-8.000,-16.000,-3.000,-4.000,-5.000,0.000,0.000,-7.000,-5.000,-9.000,-15.000,1.000,-11.000,-3.000,-20.000,1.000,-13.000,-7.000,-14.000,1.000,3.000,4.000,4.000,3.000,4.000,0.000,-1.000,-10.000,2.000,4.000,4.000,-2.000,-22.000,2.000,1.000,2.000,-1.000,12628.000
'[16:17:00.125 12/08/2009]',-4.000,-3.000,-6.000,-1.000,-4.000,-7.000,-3.000,-59.000,3.000,-6.000,-1.000,-1.000,-4.000,-4.000,-1.000,0.000,-2.000,-5.000,1.000,2.000,-4.000,-46.000,-38.000,-33.000,-33.000,-32.000,-19.000,-22.000,-27.000,-20.000,-18.000,-18.000,4.000,-12.000,-21.000,-15.000,-19.000,-31.000,-12.000,-21.000,-11.000,-21.000,-4.000,-15.000,-10.000,-15.000,-2.000,-4.000,-5.000,-5.000,-6.000,-1.000,-5.000,-4.000,-11.000,-3.000,-2.000,-1.000,-5.000,-23.000,-4.000,-4.000,-1.000,-7.000,20.000
'[16:17:00.131 12/08/2009]',-11.000,-7.000,-10.000,-4.000,-7.000,-13.000,-15.000,-51.000,0.000,-7.000,-6.000,-4.000,-6.000,-3.000,-2.000,1.000,-4.000,-2.000,-1.000,3.000,-2.000,-53.000,-44.000,-39.000,-36.000,-28.000,-21.000,-25.000,-32.000,-20.000,-16.000,-16.000,-2.000,-11.000,-18.000,-18.000,-26.000,-26.000,-7.000,-24.000,-4.000,-14.000,5.000,-14.000,6.000,-12.000,3.000,-1.000,-4.000,-3.000,-5.000,-1.000,-6.000,-5.000,-10.000,-4.000,-4.000,-2.000,-8.000,-26.000,-5.000,-4.000,-5.000,-5.000,20.000
'[16:17:00.138 12/08/2009]',-8.000,-5.000,-15.000,-9.000,-12.000,-22.000,-30.000,266.000,-6.000,-12.000,-14.000,-12.000,-11.000,-7.000,-2.000,-4.000,-7.000,-2.000,-8.000,-8.000,-13.000,-53.000,-45.000,-43.000,-36.000,-25.000,-25.000,-29.000,-42.000,-20.000,-17.000,-17.000,-3.000,-16.000,-24.000,-25.000,-33.000,-33.000,-10.000,-32.000,-14.000,-26.000,-10.000,-30.000,-16.000,-25.000,-18.000,-18.000,-21.000,-20.000,-19.000,-17.000,-22.000,-22.000,-23.000,-23.000,-22.000,-17.000,-25.000,-42.000,-23.000,-20.000,-22.000,-20.000,0.000
'[16:17:00.144 12/08/2009]',-20.000,-18.000,-30.000,-24.000,-29.000,-34.000,-35.000,165.000,-24.000,-29.000,-29.000,-27.000,-24.000,-18.000,-26.000,-24.000,-22.000,-27.000,-23.000,-22.000,-25.000,-58.000,-50.000,-47.000,-42.000,-36.000,-33.000,-35.000,-46.000,-29.000,-27.000,-28.000,-4.000,-26.000,-32.000,-32.000,-37.000,-37.000,-24.000,-27.000,-32.000,-26.000,-26.000,-26.000,-31.000,-22.000,-33.000,-33.000,-33.000,-30.000,-26.000,-22.000,-25.000,-24.000,-22.000,-32.000,-31.000,-22.000,-27.000,-45.000,-27.000,-22.000,-22.000,-16.000,0.000
'[16:17:00.150 12/08/2009]',-31.000,-30.000,-35.000,-27.000,-30.000,-34.000,-33.000,216.000,-32.000,-36.000,-33.000,-31.000,-23.000,-13.000,-32.000,-26.000,-24.000,-29.000,-21.000,-20.000,-21.000,-60.000,-50.000,-47.000,-38.000,-37.000,-35.000,-34.000,-40.000,-32.000,-31.000,-31.000,-18.000,-26.000,-28.000,-30.000,-33.000,-27.000,-30.000,-22.000,-33.000,-22.000,-23.000,-24.000,-23.000,-17.000,-26.000,-26.000,-29.000,-26.000,-22.000,-18.000,-23.000,-21.000,-20.000,-26.000,-27.000,-20.000,-25.000,-44.000,-23.000,-18.000,-20.000,-12.000,0.000
'[16:17:00.156 12/08/2009]',-33.000,-29.000,-35.000,-29.000,-31.000,-34.000,-36.000,324.000,-32.000,-34.000,-32.000,-33.000,-23.000,-20.000,-24.000,-20.000,-20.000,-24.000,-18.000,-20.000,-22.000,-61.000,-51.000,-48.000,-30.000,-42.000,-35.000,-34.000,-41.000,-35.000,-30.000,-30.000,-21.000,-26.000,-27.000,-31.000,-36.000,-36.000,-29.000,-30.000,-28.000,-27.000,-20.000,-33.000,-16.000,-20.000,-20.000,-21.000,-25.000,-24.000,-21.000,-18.000,-24.000,-23.000,-22.000,-23.000,-25.000,-20.000,-25.000,-46.000,-21.000,-18.000,-22.000,-15.000,0.000
'[16:17:00.163 12/08/2009]',-31.000,-27.000,-34.000,-31.000,-35.000,-34.000,-37.000,306.000,-32.000,-33.000,-30.000,-31.000,-23.000,-21.000,-21.000,-20.000,-17.000,-21.000,-17.000,-18.000,-20.000,-57.000,-46.000,-43.000,-22.000,-40.000,-33.000,-32.000,-38.000,-29.000,-26.000,-26.000,-17.000,-24.000,-25.000,-27.000,-32.000,-39.000,-17.000,-26.000,-21.000,-21.000,-14.000,-26.000,-14.000,-20.000,-19.000,-20.000,-24.000,-23.000,-20.000,-17.000,-21.000,-21.000,-24.000,-24.000,-25.000,-19.000,-24.000,-48.000,-23.000,-21.000,-24.000,-17.000,0.000
'[16:17:00.169 12/08/2009]',-26.000,-26.000,-33.000,-25.000,-32.000,-29.000,-27.000,294.000,-31.000,-33.000,-31.000,-28.000,-22.000,-14.000,-24.000,-25.000,-17.000,-22.000,-17.000,-17.000,-20.000,-54.000,-43.000,-43.000,-20.000,-30.000,-33.000,-34.000,-40.000,-25.000,-29.000,-29.000,-13.000,-29.000,-32.000,-33.000,-37.000,-43.000,-20.000,-29.000,-33.000,-27.000,-27.000,-24.000,-35.000,-27.000,-36.000,-32.000,-33.000,-29.000,-25.000,-22.000,-26.000,-26.000,-29.000,-37.000,-34.000,-24.000,-29.000,-52.000,-32.000,-27.000,-29.000,-25.000,0.000
'[16:17:00.175 12/08/2009]',-31.000,-30.000,-40.000,-35.000,-43.000,-39.000,-43.000,312.000,-34.000,-39.000,-36.000,-36.000,-28.000,-26.000,-30.000,-30.000,-23.000,-27.000,-22.000,-22.000,-25.000,-59.000,-48.000,-43.000,-23.000,-33.000,-37.000,-40.000,-45.000,-34.000,-31.000,-32.000,-9.000,-33.000,-40.000,-40.000,-44.000,-42.000,-26.000,-38.000,-35.000,-33.000,-25.000,-22.000,-31.000,-28.000,-37.000,-31.000,-31.000,-26.000,-23.000,-19.000,-25.000,-24.000,-26.000,-35.000,-30.000,-21.000,-26.000,-49.000,-29.000,-25.000,-24.000,-25.000,0.000
'[16:17:00.181 12/08/2009]',-30.000,-25.000,-34.000,-30.000,-37.000,-36.000,-45.000,315.000,-25.000,-30.000,-30.000,-30.000,-21.000,-21.000,-18.000,-20.000,-15.000,-14.000,-14.000,-14.000,-16.000,-56.000,-46.000,-22.000,-19.000,-24.000,-32.000,-33.000,-41.000,-28.000,-23.000,-23.000,-8.000,-23.000,-27.000,-30.000,-35.000,-27.000,-17.000,-32.000,-17.000,-23.000,-7.000,-25.000,-7.000,-21.000,-18.000,-15.000,-18.000,-14.000,-12.000,-8.000,-15.000,-15.000,-20.000,-22.000,-19.000,-11.000,-15.000,-41.000,-18.000,-16.000,-16.000,-18.000,0.000
'[16:17:00.188 12/08/2009]',-19.000,-14.000,-23.000,-18.000,-25.000,-24.000,-31.000,312.000,-18.000,-19.000,-20.000,-18.000,-11.000,-9.000,-10.000,-12.000,-8.000,-8.000,-7.000,-8.000,-13.000,-53.000,-41.000,-14.000,-15.000,-18.000,-27.000,-27.000,-35.000,-21.000,-20.000,-21.000,-9.000,-21.000,-22.000,-24.000,-31.000,-25.000,-13.000,-22.000,-16.000,-21.000,-11.000,-31.000,-13.000,-25.000,-18.000,-17.000,-22.000,-18.000,-15.000,-13.000,-17.000,-20.000,-27.000,-26.000,-26.000,-16.000,-22.000,-49.000,-27.000,-26.000,-25.000,-32.000,0.000
'[16:17:00.194 12/08/2009]',-26.000,-21.000,-31.000,-25.000,-32.000,-26.000,-29.000,313.000,-28.000,-29.000,-26.000,-24.000,-16.000,-13.000,-21.000,-23.000,-18.000,-20.000,-14.000,-14.000,-20.000,-58.000,-43.000,-20.000,-19.000,-21.000,-31.000,-31.000,-35.000,-25.000,-25.000,-25.000,-8.000,-27.000,-26.000,-29.000,-35.000,-27.000,-20.000,-23.000,-26.000,-23.000,-20.000,-24.000,-33.000,-28.000,-31.000,-27.000,-29.000,-25.000,-21.000,-16.000,-22.000,-22.000,-27.000,-35.000,-32.000,-19.000,-23.000,-49.000,-33.000,-29.000,-25.000,-31.000,0.000
'[16:17:00.200 12/08/2009]',-24.000,-20.000,-30.000,-20.000,-26.000,-26.000,-27.000,314.000,-25.000,-27.000,-23.000,-21.000,-15.000,-7.000,-22.000,-21.000,-16.000,-16.000,-10.000,-11.000,-15.000,-49.000,-34.000,-16.000,-12.000,-9.000,-24.000,-23.000,-25.000,-16.000,-16.000,-17.000,-7.000,-22.000,-21.000,-21.000,-25.000,-14.000,-15.000,-16.000,-24.000,-16.000,-15.000,-10.000,-24.000,-17.000,-25.000,-22.000,-22.000,-17.000,-13.000,-6.000,-14.000,-12.000,-17.000,-26.000,-24.000,-10.000,-14.000,-37.000,-22.000,-16.000,-14.000,-15.000,0.000
'[16:17:00.206 12/08/2009]',-13.000,-13.000,-20.000,-13.000,-18.000,-17.000,-15.000,176.000,-16.000,-17.000,-14.000,-12.000,-10.000,-2.000,-18.000,-17.000,-12.000,-15.000,-6.000,-7.000,-11.000,-48.000,-32.000,-18.000,-14.000,-16.000,-21.000,-20.000,-24.000,-16.000,-16.000,-18.000,2.000,-22.000,-20.000,-15.000,-16.000,-12.000,-13.000,-12.000,-22.000,-16.000,-13.000,-10.000,-16.000,-14.000,-21.000,-20.000,-22.000,-18.000,-15.000,-9.000,-15.000,-15.000,-18.000,-23.000,-24.000,-14.000,-18.000,-39.000,-21.000,-18.000,-16.000,-15.000,0.000
'[16:17:00.213 12/08/2009]',-12.000,-11.000,-14.000,-8.000,-11.000,-8.000,0.000,-54.000,-14.000,-16.000,-12.000,-11.000,-15.000,-6.000,-22.000,-22.000,-19.000,-16.000,-15.000,-15.000,-20.000,-53.000,-39.000,-23.000,-20.000,-25.000,-26.000,-25.000,-29.000,-21.000,-22.000,-24.000,2.000,-26.000,-22.000,-21.000,-24.000,-19.000,-18.000,-21.000,-26.000,-23.000,-16.000,-21.000,-18.000,-23.000,-24.000,-24.000,-27.000,-25.000,-25.000,-19.000,-27.000,-26.000,-27.000,-28.000,-29.000,-24.000,-27.000,-50.000,-27.000,-26.000,-24.000,-21.000,0.000
'[16:17:00.219 12/08/2009]',-19.000,-22.000,-29.000,-20.000,-20.000,-21.000,-23.000,176.000,-26.000,-29.000,-25.000,-22.000,-20.000,-10.000,-22.000,-22.000,-21.000,-16.000,-17.000,-20.000,-24.000,-51.000,-35.000,-17.000,-15.000,-20.000,-24.000,-21.000,-22.000,-15.000,-18.000,-17.000,-3.000,-20.000,-17.000,-17.000,-21.000,-8.000,-11.000,-11.000,-17.000,-10.000,-7.000,-14.000,-12.000,-21.000,-18.000,-16.000,-18.000,-14.000,-17.000,-12.000,-22.000,-19.000,-22.000,-20.000,-18.000,-14.000,-18.000,-43.000,-18.000,-17.000,-17.000,-15.000,0.000
'[16:17:00.225 12/08/2009]',6.000,3.000,4.000,5.000,4.000,7.000,6.000,-34.000,5.000,3.000,8.000,9.000,-4.000,3.000,-6.000,-4.000,-3.000,-6.000,0.000,-3.000,-8.000,-29.000,-12.000,2.000,4.000,-1.000,-3.000,1.000,1.000,3.000,3.000,3.000,11.000,2.000,2.000,3.000,1.000,7.000,10.000,8.000,0.000,6.000,6.000,-7.000,1.000,-11.000,-7.000,-2.000,-3.000,2.000,-2.000,1.000,-8.000,-6.000,-12.000,-10.000,-6.000,-2.000,-8.000,-33.000,-9.000,-8.000,-10.000,-8.000,0.000
'[16:17:00.231 12/08/2009]',31.000,26.000,35.000,34.000,27.000,28.000,30.000,-184.000,27.000,22.000,27.000,25.000,4.000,10.000,5.000,7.000,7.000,6.000,5.000,4.000,-2.000,-28.000,-14.000,0.000,3.000,2.000,-2.000,-3.000,-4.000,2.000,3.000,2.000,7.000,3.000,3.000,-1.000,-5.000,-6.000,10.000,-2.000,2.000,-7.000,5.000,-3.000,1.000,-11.000,-5.000,1.000,-1.000,4.000,-2.000,1.000,-6.000,-6.000,-11.000,-6.000,-3.000,-1.000,-7.000,-31.000,-5.000,-4.000,-7.000,-3.000,0.000
'[16:17:00.238 12/08/2009]',6.000,4.000,-2.000,0.000,-4.000,-5.000,-5.000,114.000,4.000,-1.000,-2.000,1.000,-2.000,-2.000,6.000,7.000,5.000,4.000,3.000,2.000,-5.000,-42.000,-27.000,-14.000,-12.000,-10.000,-13.000,-14.000,-22.000,-8.000,-5.000,-7.000,3.000,-6.000,-8.000,-13.000,-18.000,-23.000,1.000,-15.000,0.000,-18.000,4.000,-10.000,3.000,-10.000,-2.000,4.000,4.000,7.000,2.000,5.000,-1.000,-2.000,-7.000,-3.000,2.000,5.000,-1.000,-25.000,-1.000,2.000,-2.000,-4.000,0.000
'[16:17:00.244 12/08/2009]',0.000,3.000,-6.000,-7.000,-8.000,-6.000,-10.000,-44.000,7.000,3.000,1.000,4.000,4.000,-1.000,9.000,13.000,11.000,8.000,12.000,11.000,3.000,-42.000,-29.000,-14.000,-10.000,-13.000,-12.000,-14.000,-24.000,-5.000,-3.000,-3.000,4.000,-4.000,-8.000,-9.000,-16.000,-17.000,1.000,-12.000,2.000,-10.000,3.000,-15.000,8.000,-5.000,6.000,12.000,14.000,17.000,15.000,20.000,12.000,10.000,2.000,4.000,10.000,16.000,12.000,-14.000,6.000,11.000,9.000,1.000,0.000
