'Time and date','Fc5.','Fc3.','Fc1.','Fcz.','Fc2.','Fc4.','Fc6.','C5..','C3..','C1..','Cz..','C2..','C4..','C6..','Cp5.','Cp3.','Cp1.','Cpz.','Cp2.','Cp4.','Cp6.','Fp1.','Fpz.','Fp2.','Af7.','Af3.','Afz.','Af4.','Af8.','F7..','F5..','F3..','F1..','Fz..','F2..','F4..','F6..','F8..','Ft7.','Ft8.','T7..','T8..','T9..','T10.','Tp7.','Tp8.','P7..','P5..','P3..','P1..','Pz..','P2..','P4..','P6..','P8..','Po7.','Po3.','Poz.','Po4.','Po8.','O1..','Oz..','O2..','Iz..','EDF Annotations'
'[16:17:00.056 12/08/2009]',-13.000,-11.000,-18.000,-17.000,-21.000,-21.000,-20.000,-15.000,-17.000,-20.000,-25.000,-24.000,-30.000,-24.000,-16.000,-27.000,-29.000,-33.000,-31.000,-34.000,-25.000,-88.000,-80.000,-84.000,-74.000,-28.000,-27.000,-35.000,-58.000,-23.000,-16.000,-18.000,-19.000,-19.000,-19.000,-20.000,-22.000,-28.000,-13.000,-23.000,-15.000,-21.000,-9.000,-23.000,-12.000,-16.000,-19.000,-21.000,-20.000,-25.000,-22.000,-24.000,-26.000,-25.000,-21.000,-18.000,-17.000,-22.000,-24.000,-22.000,-22.000,-19.000,-17.000,-19.000,0.000
'[16:17:00.063 12/08/2009]',-18.000,-17.000,-23.000,-23.000,-26.000,-26.000,-25.000,-21.000,-23.000,-26.000,-31.000,-29.000,-34.000,-27.000,-19.000,-30.000,-35.000,-38.000,-36.000,-38.000,-30.000,-99.000,-93.000,-96.000,-84.000,-37.000,-35.000,-42.000,-64.000,-31.000,-24.000,-24.000,-25.000,-24.000,-25.000,-26.000,-28.000,-38.000,-19.000,-45.000,-20.000,-34.000,-19.000,-26.000,-24.000,-23.000,-24.000,-25.000,-23.000,-31.000,-25.000,-27.000,-29.000,-27.000,-23.000,-22.000,-21.000,-24.000,-25.000,-22.000,-26.000,-20.000,-19.000,-26.000,0.000
'[16:17:00.069 12/08/2009]',-21.000,-19.000,-26.000,-25.000,-27.000,-23.000,-24.000,-24.000,-25.000,-29.000,-33.000,-29.000,-30.000,-16.000,-22.000,-31.000,-36.000,-38.000,-36.000,-36.000,-28.000,-103.000,-95.000,-98.000,-88.000,-38.000,-36.000,-44.000,-69.000,-34.000,-27.000,-25.000,-26.000,-26.000,-27.000,-28.000,-35.000,-42.000,-21.000,-40.000,-23.000,-34.000,-16.000,-27.000,-23.000,-20.000,-29.000,-29.000,-25.000,-32.000,-26.000,-28.000,-29.000,-27.000,-22.000,-24.000,-23.000,-26.000,-27.000,-23.000,-25.000,-21.000,-20.000,-13.000,0.000
'[16:17:00.075 12/08/2009]',-23.000,-23.000,-29.000,-28.000,-31.000,-31.000,-30.000,-27.000,-28.000,-31.000,-35.000,-35.000,-41.000,-38.000,-23.000,-35.000,-38.000,-41.000,-40.000,-44.000,-35.000,-104.000,-95.000,-100.000,-88.000,-41.000,-39.000,-46.000,-69.000,-35.000,-29.000,-26.000,-28.000,-29.000,-29.000,-30.000,-35.000,-38.000,-21.000,-16.000,-24.000,-27.000,-13.000,-25.000,-22.000,-21.000,-28.000,-28.000,-26.000,-33.000,-28.000,-31.000,-34.000,-36.000,-32.000,-26.000,-25.000,-27.000,-32.000,-33.000,-28.000,-26.000,-27.000,-31.000,0.000
'[16:17:00.081 12/08/2009]',-23.000,-23.000,-29.000,-28.000,-30.000,-31.000,-29.000,-26.000,-27.000,-29.000,-34.000,-33.000,-41.000,-36.000,-18.000,-35.000,-37.000,-40.000,-39.000,-42.000,-37.000,-104.000,-95.000,-102.000,-90.000,-43.000,-40.000,-47.000,-72.000,-36.000,-32.000,-27.000,-28.000,-29.000,-29.000,-30.000,-27.000,-39.000,-23.000,-28.000,-21.000,-31.000,-23.000,-26.000,-23.000,-23.000,-28.000,-26.000,-24.000,-30.000,-24.000,-28.000,-31.000,-32.000,-30.000,-24.000,-24.000,-25.000,-30.000,-31.000,-29.000,-25.000,-26.000,-26.000,0.000
'[16:17:00.088 12/08/2009]',-23.000,-20.000,-27.000,-26.000,-27.000,-27.000,-26.000,-23.000,-25.000,-26.000,-30.000,-28.000,-35.000,-27.000,-17.000,-34.000,-33.000,-36.000,-35.000,-37.000,-31.000,-102.000,-96.000,-102.000,-89.000,-42.000,-39.000,-47.000,-73.000,-36.000,-30.000,-24.000,-25.000,-26.000,-27.000,-27.000,-25.000,-37.000,-21.000,-26.000,-22.000,-27.000,-20.000,-27.000,-17.000,-19.000,-27.000,-25.000,-22.000,-27.000,-21.000,-24.000,-26.000,-28.000,-24.000,-22.000,-21.000,-21.000,-25.000,-26.000,-25.000,-19.000,-19.000,-14.000,0.000
'[16:17:00.094 12/08/2009]',-22.000,-18.000,-24.000,-23.000,-25.000,-25.000,-24.000,-24.000,-23.000,-24.000,-29.000,-27.000,-32.000,-27.000,-18.000,-33.000,-32.000,-34.000,-32.000,-35.000,-28.000,-102.000,-95.000,-99.000,-88.000,-41.000,-38.000,-46.000,-70.000,-37.000,-29.000,-24.000,-25.000,-25.000,-26.000,-27.000,-27.000,-34.000,-22.000,-20.000,-25.000,-30.000,-14.000,-24.000,-23.000,-21.000,-27.000,-24.000,-21.000,-27.000,-22.000,-24.000,-26.000,-28.000,-25.000,-20.000,-21.000,-20.000,-23.000,-24.000,-24.000,-19.000,-19.000,-26.000,0.000
'[16:17:00.100 12/08/2009]',-23.000,-20.000,-28.000,-26.000,-27.000,-27.000,-25.000,-26.000,-25.000,-27.000,-31.000,-30.000,-34.000,-28.000,-19.000,-34.000,-34.000,-37.000,-35.000,-37.000,-31.000,-105.000,-98.000,-103.000,-92.000,-46.000,-41.000,-47.000,-73.000,-41.000,-35.000,-29.000,-30.000,-29.000,-30.000,-31.000,-31.000,-39.000,-27.000,-23.000,-27.000,-32.000,-26.000,-25.000,-28.000,-22.000,-31.000,-28.000,-25.000,-30.000,-27.000,-27.000,-29.000,-28.000,-25.000,-22.000,-24.000,-24.000,-25.000,-25.000,-26.000,-20.000,-20.000,-16.000,0.000
'[16:17:00.106 12/08/2009]',-27.000,-25.000,-32.000,-28.000,-30.000,-29.000,-28.000,-30.000,-29.000,-29.000,-33.000,-32.000,-36.000,-28.000,-26.000,-38.000,-36.000,-39.000,-37.000,-37.000,-30.000,-106.000,-99.000,-102.000,-94.000,-49.000,-44.000,-49.000,-76.000,-45.000,-39.000,-31.000,-32.000,-31.000,-32.000,-33.000,-41.000,-41.000,-30.000,-24.000,-29.000,-29.000,-19.000,-25.000,-25.000,-21.000,-31.000,-30.000,-27.000,-30.000,-28.000,-28.000,-29.000,-28.000,-26.000,-25.000,-26.000,-25.000,-26.000,-27.000,-30.000,-21.000,-21.000,-22.000,0.000
'[16:17:00.113 12/08/2009]',-29.000,-26.000,-33.000,-30.000,-31.000,-33.000,-34.000,-30.000,-28.000,-28.000,-32.000,-33.000,-39.000,-31.000,-24.000,-37.000,-35.000,-39.000,-38.000,-39.000,-33.000,-109.000,-101.000,-104.000,-94.000,-51.000,-46.000,-53.000,-79.000,-46.000,-42.000,-32.000,-34.000,-32.000,-35.000,-36.000,-51.000,-45.000,-30.000,-38.000,-27.000,-30.000,-21.000,-27.000,-26.000,-24.000,-27.000,-26.000,-23.000,-28.000,-26.000,-26.000,-28.000,-28.000,-27.000,-21.000,-23.000,-23.000,-25.000,-25.000,-28.000,-19.000,-18.000,-22.000,0.000
'[16:17:00.119 12/08/2009]',-28.000,-24.000,-31.000,-30.000,-31.000,-33.000,-34.000,-26.000,-25.000,-26.000,-31.000,-31.000,-37.000,-29.000,-19.000,-34.000,-32.000,-35.000,-35.000,-35.000,-30.000,-105.000,-98.000,-99.000,-90.000,-47.000,-45.000,-50.000,-74.000,-41.000,-38.000,-30.000,-31.000,-31.000,-33.000,-34.000,-41.000,-41.000,-23.000,-21.000,-21.000,-31.000,-16.000,-24.000,-15.000,-20.000,-23.000,-23.000,-21.000,-25.000,-24.000,-22.000,-26.000,-25.000,-22.000,-18.000,-21.000,-22.000,-22.000,-22.000,-24.000,-17.000,-15.000,-7.000,0.000
'[16:17:00.125 12/08/2009]',-24.000,-22.000,-30.000,-29.000,-31.000,-33.000,-33.000,-24.000,-25.000,-27.000,-32.000,-32.000,-36.000,-29.000,-21.000,-34.000,-34.000,-37.000,-37.000,-37.000,-31.000,-105.000,-101.000,-105.000,-91.000,-48.000,-47.000,-54.000,-78.000,-43.000,-38.000,-32.000,-33.000,-34.000,-36.000,-37.000,-40.000,-40.000,-26.000,-19.000,-25.000,-35.000,-16.000,-27.000,-21.000,-24.000,-28.000,-27.000,-26.000,-30.000,-28.000,-28.000,-29.000,-29.000,-25.000,-24.000,-27.000,-26.000,-26.000,-27.000,-29.000,-24.000,-22.000,-26.000,0.000
'[16:17:00.131 12/08/2009]',-28.000,-26.000,-34.000,-33.000,-35.000,-35.000,-34.000,-28.000,-28.000,-30.000,-36.000,-35.000,-39.000,-31.000,-24.000,-36.000,-35.000,-40.000,-39.000,-39.000,-32.000,-106.000,-101.000,-108.000,-90.000,-49.000,-48.000,-56.000,-85.000,-44.000,-38.000,-32.000,-33.000,-34.000,-35.000,-36.000,-34.000,-42.000,-25.000,-25.000,-24.000,-34.000,-15.000,-25.000,-24.000,-22.000,-24.000,-23.000,-22.000,-26.000,-25.000,-25.000,-25.000,-24.000,-22.000,-18.000,-21.000,-21.000,-22.000,-22.000,-21.000,-18.000,-17.000,-13.000,0.000
'[16:17:00.138 12/08/2009]',-23.000,-20.000,-27.000,-26.000,-27.000,-28.000,-23.000,-22.000,-20.000,-23.000,-29.000,-27.000,-31.000,-25.000,-14.000,-31.000,-27.000,-32.000,-30.000,-32.000,-25.000,-98.000,-92.000,-99.000,-85.000,-43.000,-40.000,-49.000,-79.000,-37.000,-33.000,-26.000,-27.000,-26.000,-28.000,-28.000,-29.000,-35.000,-19.000,-17.000,-17.000,-25.000,-14.000,-19.000,-10.000,-16.000,-17.000,-15.000,-16.000,-20.000,-20.000,-20.000,-21.000,-21.000,-18.000,-11.000,-15.000,-18.000,-19.000,-19.000,-16.000,-14.000,-14.000,-2.000,0.000
'[16:17:00.144 12/08/2009]',-20.000,-19.000,-25.000,-25.000,-26.000,-28.000,-24.000,-21.000,-19.000,-23.000,-27.000,-27.000,-32.000,-26.000,-12.000,-31.000,-27.000,-32.000,-31.000,-34.000,-28.000,-100.000,-95.000,-100.000,-86.000,-44.000,-43.000,-49.000,-70.000,-38.000,-34.000,-29.000,-30.000,-30.000,-32.000,-32.000,-38.000,-35.000,-20.000,-14.000,-17.000,-28.000,-15.000,-22.000,-17.000,-20.000,-19.000,-19.000,-20.000,-25.000,-23.000,-23.000,-26.000,-24.000,-22.000,-15.000,-19.000,-22.000,-23.000,-20.000,-22.000,-20.000,-20.000,-23.000,0.000
'[16:17:00.150 12/08/2009]',-20.000,-19.000,-26.000,-26.000,-27.000,-31.000,-29.000,-21.000,-19.000,-25.000,-27.000,-28.000,-34.000,-27.000,-16.000,-32.000,-29.000,-33.000,-33.000,-35.000,-29.000,-97.000,-92.000,-92.000,-81.000,-42.000,-40.000,-46.000,-63.000,-34.000,-31.000,-25.000,-26.000,-25.000,-28.000,-28.000,-36.000,-33.000,-17.000,-21.000,-15.000,-31.000,-12.000,-21.000,-16.000,-18.000,-18.000,-16.000,-17.000,-23.000,-20.000,-19.000,-22.000,-21.000,-18.000,-10.000,-15.000,-17.000,-19.000,-18.000,-18.000,-15.000,-16.000,-6.000,0.000
'[16:17:00.156 12/08/2009]',-14.000,-12.000,-19.000,-15.000,-16.000,-16.000,-17.000,-16.000,-13.000,-17.000,-17.000,-18.000,-19.000,-4.000,-12.000,-28.000,-22.000,-24.000,-24.000,-24.000,-20.000,-89.000,-87.000,-85.000,-77.000,-36.000,-33.000,-40.000,-66.000,-33.000,-27.000,-19.000,-20.000,-18.000,-20.000,-21.000,-35.000,-34.000,-17.000,-26.000,-17.000,-26.000,-5.000,-22.000,-13.000,-16.000,-16.000,-14.000,-15.000,-19.000,-16.000,-16.000,-19.000,-19.000,-17.000,-10.000,-15.000,-16.000,-18.000,-19.000,-16.000,-15.000,-16.000,-10.000,0.000
'[16:17:00.163 12/08/2009]',-19.000,-15.000,-21.000,-16.000,-19.000,-22.000,-20.000,-21.000,-17.000,-19.000,-20.000,-21.000,-28.000,-22.000,-15.000,-31.000,-24.000,-27.000,-28.000,-29.000,-23.000,-95.000,-91.000,-95.000,-81.000,-41.000,-40.000,-47.000,-72.000,-37.000,-33.000,-23.000,-25.000,-24.000,-26.000,-27.000,-39.000,-33.000,-22.000,-11.000,-22.000,-12.000,-14.000,-20.000,-24.000,-14.000,-22.000,-20.000,-18.000,-21.000,-18.000,-18.000,-20.000,-18.000,-16.000,-16.000,-19.000,-17.000,-18.000,-18.000,-18.000,-15.000,-16.000,-15.000,0.000
'[16:17:00.169 12/08/2009]',-20.000,-14.000,-20.000,-19.000,-20.000,-26.000,-24.000,-21.000,-16.000,-18.000,-19.000,-21.000,-29.000,-25.000,-16.000,-27.000,-24.000,-26.000,-27.000,-27.000,-24.000,-95.000,-89.000,-94.000,-82.000,-40.000,-39.000,-45.000,-72.000,-38.000,-33.000,-21.000,-22.000,-21.000,-24.000,-24.000,-34.000,-29.000,-20.000,-16.000,-21.000,-18.000,-20.000,-16.000,-18.000,-11.000,-19.000,-16.000,-13.000,-17.000,-14.000,-15.000,-18.000,-17.000,-15.000,-11.000,-13.000,-13.000,-16.000,-16.000,-14.000,-11.000,-10.000,2.000,0.000
'[16:17:00.175 12/08/2009]',-16.000,-9.000,-15.000,-13.000,-14.000,-19.000,-17.000,-17.000,-11.000,-12.000,-13.000,-15.000,-22.000,-16.000,-10.000,-20.000,-18.000,-19.000,-22.000,-24.000,-22.000,-93.000,-90.000,-92.000,-81.000,-38.000,-36.000,-42.000,-71.000,-37.000,-32.000,-18.000,-19.000,-18.000,-20.000,-20.000,-31.000,-28.000,-19.000,-11.000,-18.000,-22.000,-15.000,-18.000,-16.000,-13.000,-16.000,-13.000,-10.000,-13.000,-10.000,-12.000,-16.000,-17.000,-17.000,-10.000,-11.000,-11.000,-14.000,-16.000,-13.000,-10.000,-9.000,-12.000,0.000
'[16:17:00.181 12/08/2009]',-14.000,-9.000,-14.000,-12.000,-14.000,-20.000,-19.000,-17.000,-11.000,-12.000,-13.000,-16.000,-24.000,-19.000,-10.000,-20.000,-18.000,-20.000,-22.000,-26.000,-22.000,-93.000,-88.000,-92.000,-80.000,-38.000,-36.000,-44.000,-64.000,-38.000,-34.000,-19.000,-20.000,-21.000,-23.000,-24.000,-36.000,-30.000,-20.000,-11.000,-18.000,-21.000,-11.000,-18.000,-17.000,-13.000,-14.000,-12.000,-11.000,-14.000,-11.000,-14.000,-16.000,-16.000,-16.000,-8.000,-12.000,-11.000,-14.000,-15.000,-10.000,-8.000,-7.000,-6.000,0.000
'[16:17:00.188 12/08/2009]',-15.000,-10.000,-17.000,-14.000,-16.000,-22.000,-24.000,-17.000,-12.000,-13.000,-15.000,-17.000,-26.000,-20.000,-10.000,-23.000,-19.000,-21.000,-23.000,-25.000,-21.000,-92.000,-88.000,-95.000,-78.000,-38.000,-37.000,-48.000,-67.000,-38.000,-33.000,-18.000,-19.000,-21.000,-23.000,-23.000,-33.000,-28.000,-18.000,-11.000,-18.000,-21.000,-16.000,-18.000,-14.000,-13.000,-16.000,-14.000,-11.000,-15.000,-11.000,-12.000,-15.000,-14.000,-14.000,-10.000,-13.000,-11.000,-13.000,-11.000,-9.000,-6.000,-5.000,-2.000,0.000
'[16:17:00.194 12/08/2009]',-13.000,-7.000,-14.000,-10.000,-12.000,-17.000,-19.000,-16.000,-10.000,-9.000,-12.000,-13.000,-22.000,-15.000,-7.000,-22.000,-18.000,-17.000,-19.000,-21.000,-17.000,-94.000,-87.000,-93.000,-78.000,-35.000,-32.000,-42.000,-65.000,-35.000,-30.000,-15.000,-16.000,-15.000,-18.000,-18.000,-27.000,-30.000,-18.000,-17.000,-17.000,-20.000,-21.000,-18.000,-21.000,-10.000,-18.000,-17.000,-12.000,-15.000,-9.000,-11.000,-12.000,-12.000,-12.000,-15.000,-16.000,-11.000,-12.000,-11.000,-15.000,-10.000,-8.000,-22.000,0.000
'[16:17:00.200 12/08/2009]',-14.000,-6.000,-13.000,-9.000,-12.000,-16.000,-18.000,-17.000,-13.000,-10.000,-13.000,-14.000,-22.000,-15.000,-11.000,-23.000,-20.000,-20.000,-22.000,-22.000,-18.000,-96.000,-88.000,-94.000,-81.000,-37.000,-32.000,-38.000,-70.000,-38.000,-33.000,-17.000,-18.000,-18.000,-19.000,-20.000,-24.000,-34.000,-22.000,-15.000,-22.000,-25.000,-13.000,-16.000,-20.000,-11.000,-18.000,-18.000,-14.000,-17.000,-11.000,-13.000,-14.000,-13.000,-10.000,-14.000,-16.000,-13.000,-13.000,-11.000,-15.000,-9.000,-7.000,-4.000,0.000
'[16:17:00.206 12/08/2009]',-15.000,-9.000,-14.000,-11.000,-13.000,-16.000,-19.000,-19.000,-15.000,-13.000,-15.000,-15.000,-22.000,-15.000,-14.000,-23.000,-21.000,-21.000,-22.000,-23.000,-19.000,-96.000,-89.000,-92.000,-81.000,-39.000,-33.000,-42.000,-70.000,-39.000,-32.000,-17.000,-18.000,-19.000,-20.000,-20.000,-23.000,-28.000,-22.000,-7.000,-21.000,-23.000,-12.000,-17.000,-17.000,-11.000,-17.000,-18.000,-14.000,-18.000,-12.000,-14.000,-15.000,-14.000,-12.000,-15.000,-15.000,-13.000,-13.000,-11.000,-15.000,-11.000,-9.000,-8.000,0.000
'[16:17:00.213 12/08/2009]',-15.000,-9.000,-14.000,-11.000,-12.000,-16.000,-16.000,-18.000,-13.000,-13.000,-15.000,-15.000,-22.000,-14.000,-13.000,-21.000,-22.000,-22.000,-22.000,-23.000,-19.000,-96.000,-88.000,-91.000,-79.000,-39.000,-32.000,-44.000,-65.000,-38.000,-30.000,-17.000,-18.000,-18.000,-20.000,-20.000,-25.000,-26.000,-21.000,-22.000,-20.000,-19.000,-24.000,-17.000,-24.000,-11.000,-20.000,-19.000,-12.000,-17.000,-11.000,-12.000,-13.000,-12.000,-10.000,-17.000,-15.000,-12.000,-11.000,-9.000,-16.000,-11.000,-9.000,-17.000,0.000
'[16:17:00.219 12/08/2009]',-12.000,-6.000,-12.000,-8.000,-10.000,-14.000,-15.000,-15.000,-8.000,-8.000,-11.000,-11.000,-20.000,-13.000,-9.000,-16.000,-17.000,-17.000,-18.000,-19.000,-17.000,-93.000,-88.000,-95.000,-76.000,-35.000,-30.000,-42.000,-69.000,-35.000,-26.000,-14.000,-15.000,-15.000,-17.000,-18.000,-22.000,-30.000,-18.000,-12.000,-17.000,-19.000,-22.000,-15.000,-16.000,-10.000,-15.000,-14.000,-10.000,-14.000,-7.000,-10.000,-10.000,-10.000,-8.000,-13.000,-10.000,-10.000,-11.000,-10.000,-11.000,-9.000,-7.000,0.000,0.000
'[16:17:00.225 12/08/2009]',-12.000,-6.000,-13.000,-9.000,-11.000,-15.000,-17.000,-16.000,-10.000,-10.000,-12.000,-12.000,-21.000,-15.000,-10.000,-20.000,-18.000,-18.000,-20.000,-22.000,-20.000,-94.000,-90.000,-93.000,-78.000,-39.000,-34.000,-44.000,-69.000,-38.000,-31.000,-18.000,-19.000,-18.000,-20.000,-20.000,-23.000,-33.000,-22.000,-6.000,-21.000,-20.000,-16.000,-17.000,-17.000,-14.000,-14.000,-17.000,-13.000,-18.000,-11.000,-14.000,-15.000,-14.000,-12.000,-15.000,-13.000,-14.000,-15.000,-13.000,-13.000,-15.000,-12.000,-17.000,0.000
'[16:17:00.231 12/08/2009]',-16.000,-10.000,-15.000,-10.000,-13.000,-17.000,-21.000,-17.000,-13.000,-11.000,-13.000,-14.000,-22.000,-17.000,-9.000,-21.000,-21.000,-20.000,-22.000,-24.000,-20.000,-95.000,-88.000,-87.000,-79.000,-40.000,-34.000,-42.000,-67.000,-39.000,-33.000,-18.000,-19.000,-18.000,-19.000,-19.000,-21.000,-26.000,-22.000,-8.000,-21.000,-20.000,-15.000,-17.000,-19.000,-10.000,-14.000,-16.000,-12.000,-18.000,-11.000,-13.000,-14.000,-12.000,-9.000,-16.000,-14.000,-13.000,-13.000,-12.000,-13.000,-13.000,-10.000,-15.000,0.000
